subject,trial,native_language,word,class,frequency,length,correct,RT,
A1,177,English,butterfly,animal,5.214936,9,correct,581.0001413,
A1,179,English,olive,plant,5.587249,5,correct,393.0001525,
A1,180,English,swan,animal,4.962845,4,correct,419.0000336,
A1,182,English,walnut,plant,4.49981,6,correct,393.0001525,
A1,184,English,melon,plant,4.127134,5,correct,535.0001354,
A1,185,English,monkey,animal,5.783825,6,correct,420.0001213,
A3,28,Other,strawberry,plant,4.75359,10,correct,608.0000718,
A3,29,Other,crocodile,animal,4.615121,9,correct,552.9999992,
A3,32,Other,cherry,plant,4.997212,6,correct,592.9997634,
A3,34,Other,bunny,animal,3.332205,5,correct,574.9999765,
A3,35,Other,paprika,plant,2.484907,7,correct,826.0001871,
A3,36,Other,lemon,plant,5.631212,5,correct,524.0001654,
A3,40,Other,clove,plant,3.663562,5,correct,547.0001081,
A3,41,Other,ant,animal,5.347108,3,correct,607.0001268,
A3,44,Other,pig,animal,6.660575,3,correct,562.0000844,
A3,46,Other,shark,animal,5.880533,5,correct,602.9998814,
A3,48,Other,kiwi,plant,3.044522,4,correct,551.9999745,
A3,50,Other,owl,animal,4.859812,3,correct,653.9997701,
A3,51,Other,avocado,plant,3.433987,7,correct,560.0001211,
A3,52,Other,fox,animal,5.652489,3,correct,510.0001399,
A3,55,Other,goat,animal,6.228511,4,correct,581.9997394,
A3,56,Other,walnut,plant,4.49981,6,correct,560.0001211,
A3,57,Other,tortoise,animal,4.624973,8,NA,NA,
A3,58,Other,goose,animal,5.267858,5,correct,588.0000306,
A3,61,Other,eggplant,plant,1.791759,8,correct,592.0002161,
A3,64,Other,moose,animal,2.70805,5,correct,581.9997394,
A3,65,Other,gull,animal,4.418841,4,correct,671.9997712,
A3,67,Other,eagle,animal,5.117994,5,correct,520.000098,
A3,69,Other,stork,animal,3.044522,5,correct,524.9998621,
A3,70,Other,blueberry,plant,2.484907,9,correct,602.9998814,
A3,71,Other,squid,animal,3.970292,5,correct,534.000086,
A3,72,Other,asparagus,plant,3.663562,9,correct,630.0001138,
A3,73,Other,carrot,plant,4.976734,6,correct,554.0001735,
A3,74,Other,lettuce,plant,4.812184,7,correct,576.0001954,
A3,75,Other,snake,animal,6.120297,5,correct,512.000192,
A3,79,Other,hedgehog,animal,3.637586,8,correct,902.0004329,
A3,80,Other,butterfly,animal,5.214936,9,correct,588.0000306,
A3,82,Other,beaver,animal,3.951244,6,correct,513.0000794,
A3,83,Other,banana,plant,5.023881,6,correct,489.9998084,
A3,85,Other,cat,animal,7.086738,3,correct,631.0000867,
A3,89,Other,elephant,animal,6.063785,8,correct,578.0000759,
A3,90,Other,peanut,plant,4.59512,6,correct,625.0002189,
A3,93,Other,cucumber,plant,4.454347,8,correct,546.0000132,
A3,96,Other,chicken,animal,6.59987,7,correct,524.9998621,
A3,98,Other,mustard,plant,4.442651,7,correct,519.0000606,
A3,100,Other,apple,plant,6.304449,5,correct,563.0002094,
A3,105,Other,monkey,animal,5.783825,6,correct,479.0001928,
A3,106,Other,melon,plant,4.127134,5,correct,539.0002313,
A3,108,Other,leek,plant,3.332205,4,correct,520.9999782,
A3,109,Other,camel,animal,6.109248,5,correct,520.000098,
A3,111,Other,woodpecker,animal,2.890372,10,correct,656.9999879,
A3,115,Other,reindeer,animal,4.043051,8,correct,634.0000289,
A3,116,Other,donkey,animal,5.541264,6,correct,604.9997229,
A3,120,Other,orange,plant,6.378426,6,correct,513.9998636,
A3,122,Other,dolphin,animal,4.007333,7,correct,625.0002189,
A3,124,Other,blackberry,plant,4.060443,10,correct,587.0001058,
A3,126,Other,mole,animal,4.60517,4,correct,649.0001839,
A3,132,Other,bat,animal,5.918894,3,correct,634.0000289,
A3,133,Other,mouse,animal,5.805135,5,NA,NA,
A3,134,Other,whale,animal,5.298317,5,correct,588.9998918,
A3,136,Other,broccoli,plant,2.833213,8,correct,628.9998385,
A3,138,Other,frog,animal,5.129899,4,correct,578.9997235,
A3,139,Other,tomato,plant,5.545177,6,correct,699.9997655,
A3,143,Other,almond,plant,4.204693,6,correct,1146.000118,
A3,148,Other,vulture,animal,4.248495,7,correct,638.9997097,
A3,149,Other,mushroom,plant,5.537334,8,NA,NA,
A3,150,Other,lion,animal,6.098074,4,correct,578.9997235,
A3,154,Other,dog,animal,7.667626,3,correct,513.9998636,
A3,156,Other,pear,plant,4.727388,4,NA,NA,
A3,157,Other,radish,plant,3.044522,6,correct,1252.000561,
A3,158,Other,olive,plant,5.587249,5,correct,594.9997587,
A3,160,Other,bee,animal,5.700444,3,correct,614.0000441,
A3,161,Other,magpie,animal,2.995732,6,correct,621.9999423,
A3,162,Other,potato,plant,6.461468,6,correct,497.9999616,
A3,163,Other,pineapple,plant,3.988984,9,correct,596.0001984,
A3,165,Other,wasp,animal,4.682131,4,correct,739.0000584,
A3,168,Other,beetroot,plant,3.555348,8,correct,638.9997097,
A3,169,Other,squirrel,animal,4.70953,8,correct,611.9998271,
A3,171,Other,sheep,animal,6.577861,5,correct,662.000294,
A3,175,Other,apricot,plant,3.828641,7,correct,532.9997739,
A3,176,Other,horse,animal,7.77191,5,correct,614.9998353,
A3,179,Other,spider,animal,4.844187,6,correct,623.0002998,
A3,180,Other,grape,plant,5.192957,5,correct,643.0001773,
A3,181,Other,gherkin,plant,2.079442,7,correct,627.9998955,
A3,185,Other,swan,animal,4.962845,4,correct,590.0002732,
C,23,English,vulture,animal,4.248495,7,correct,688.0001115,
C,26,English,camel,animal,6.109248,5,correct,691.0001218,
C,27,English,kiwi,plant,3.044522,4,correct,516.000121,
C,28,English,avocado,plant,3.433987,7,correct,611.9998271,
C,29,English,gull,animal,4.418841,4,correct,535.9999137,
C,31,English,banana,plant,5.023881,6,correct,648.0001968,
C,33,English,whale,animal,5.298317,5,NA,NA,
C,35,English,donkey,animal,5.541264,6,correct,601.0000393,
C,36,English,shark,animal,5.880533,5,correct,490.9999373,
C,38,English,chicken,animal,6.59987,7,correct,563.0002094,
C,39,English,monkey,animal,5.783825,6,correct,479.9999501,
C,41,English,wasp,animal,4.682131,4,correct,479.9999501,
C,46,English,cat,animal,7.086738,3,correct,483.0001673,
C,53,English,eggplant,plant,1.791759,8,correct,593.9998103,
C,54,English,gherkin,plant,2.079442,7,correct,664.999973,
C,55,English,bat,animal,5.918894,3,correct,479.9999501,
C,56,English,bee,animal,5.700444,3,NA,NA,
C,59,English,spider,animal,4.844187,6,correct,547.0001081,
C,60,English,squid,animal,3.970292,5,correct,496.999987,
C,62,English,pineapple,plant,3.988984,9,correct,599.0002407,
C,66,English,swan,animal,4.962845,4,correct,653.9997701,
C,67,English,strawberry,plant,4.75359,10,correct,540.9998491,
C,69,English,sheep,animal,6.577861,5,correct,540.9998491,
C,70,English,walnut,plant,4.49981,6,correct,529.9999965,
C,72,English,tortoise,animal,4.624973,8,correct,663.0000065,
C,73,English,lion,animal,6.098074,4,correct,520.9999782,
C,74,English,goat,animal,6.228511,4,correct,510.0001399,
C,76,English,asparagus,plant,3.663562,9,correct,590.0002732,
C,78,English,apricot,plant,3.828641,7,correct,547.9998428,
C,80,English,pig,animal,6.660575,3,correct,522.9997573,
C,81,English,apple,plant,6.304449,5,correct,517.9998745,
C,82,English,mustard,plant,4.442651,7,correct,534.000086,
C,83,English,hedgehog,animal,3.637586,8,correct,656.9999879,
C,86,English,ant,animal,5.347108,3,correct,725.0002502,
C,88,English,fox,animal,5.652489,3,correct,608.999837,
C,89,English,elephant,animal,6.063785,8,correct,581.9997394,
C,90,English,moose,animal,2.70805,5,correct,499.9999508,
C,91,English,beetroot,plant,3.555348,8,correct,531.9997397,
C,93,English,carrot,plant,4.976734,6,correct,558.9997355,
C,100,English,snake,animal,6.120297,5,correct,528.9997715,
C,102,English,olive,plant,5.587249,5,correct,487.9998019,
C,109,English,pear,plant,4.727388,4,correct,452.9999432,
C,112,English,butterfly,animal,5.214936,9,correct,536.9999492,
C,113,English,blueberry,plant,2.484907,9,correct,541.9999992,
C,114,English,mole,animal,4.60517,4,correct,538.0002366,
C,115,English,cucumber,plant,4.454347,8,correct,535.9999137,
C,116,English,orange,plant,6.378426,6,correct,511.0002094,
C,122,English,lemon,plant,5.631212,5,correct,486.0001828,
C,124,English,horse,animal,7.77191,5,correct,623.9997701,
C,127,English,squirrel,animal,4.70953,8,correct,584.00001,
C,130,English,goose,animal,5.267858,5,correct,470.0001435,
C,131,English,bunny,animal,3.332205,5,NA,NA,
C,134,English,almond,plant,4.204693,6,correct,627.000288,
C,135,English,clove,plant,3.663562,5,correct,479.9999501,
C,137,English,peanut,plant,4.59512,6,correct,562.0000844,
C,140,English,beaver,animal,3.951244,6,correct,656.0001385,
C,141,English,mushroom,plant,5.537334,8,correct,479.0001928,
C,144,English,dog,animal,7.667626,3,correct,558.000021,
C,145,English,frog,animal,5.129899,4,correct,795.9998521,
C,146,English,stork,animal,3.044522,5,correct,551.0001052,
C,148,English,potato,plant,6.461468,6,correct,616.0000225,
C,150,English,radish,plant,3.044522,6,correct,729.0001954,
C,151,English,paprika,plant,2.484907,7,correct,604.9997229,
C,153,English,blackberry,plant,4.060443,10,correct,565.9999557,
C,159,English,lettuce,plant,4.812184,7,NA,NA,
C,161,English,mouse,animal,5.805135,5,correct,588.0000306,
C,162,English,crocodile,animal,4.615121,9,correct,475.0000931,
C,164,English,reindeer,animal,4.043051,8,correct,644.9997957,
C,165,English,broccoli,plant,2.833213,8,incorrect,525.9998881,
C,168,English,tomato,plant,5.545177,6,correct,592.9997634,
C,172,English,leek,plant,3.332205,4,correct,661.0001059,
C,174,English,magpie,animal,2.995732,6,correct,617.9997173,
C,175,English,owl,animal,4.859812,3,correct,479.0001928,
C,177,English,cherry,plant,4.997212,6,correct,483.0001673,
C,178,English,eagle,animal,5.117994,5,correct,540.9998491,
C,179,English,woodpecker,animal,2.890372,10,correct,547.0001081,
C,181,English,dolphin,animal,4.007333,7,correct,581.0001413,
C,182,English,melon,plant,4.127134,5,NA,NA,
C,184,English,grape,plant,5.192957,5,correct,510.0001399,
D,24,Other,peanut,plant,4.59512,6,correct,508.9999916,
D,28,Other,swan,animal,4.962845,4,correct,572.0000049,
D,29,Other,lettuce,plant,4.812184,7,correct,587.0001058,
D,30,Other,walnut,plant,4.49981,6,correct,552.9999992,
D,32,Other,beetroot,plant,3.555348,8,correct,627.000288,
D,33,Other,broccoli,plant,2.833213,8,correct,535.9999137,
D,37,Other,spider,animal,4.844187,6,correct,545.0001119,
D,41,Other,cucumber,plant,4.454347,8,correct,637.9998192,
D,44,Other,blackberry,plant,4.060443,10,correct,573.0001623,
D,46,Other,snake,animal,6.120297,5,correct,590.0002732,
D,47,Other,cat,animal,7.086738,3,correct,529.9999965,
D,48,Other,fox,animal,5.652489,3,correct,538.0002366,
D,49,Other,gherkin,plant,2.079442,7,correct,643.0001773,
D,51,Other,tomato,plant,5.545177,6,correct,692.0000307,
D,54,Other,squirrel,animal,4.70953,8,correct,646.9998095,
D,56,Other,woodpecker,animal,2.890372,10,correct,563.0002094,
D,59,Other,squid,animal,3.970292,5,correct,737.0000795,
D,60,Other,butterfly,animal,5.214936,9,correct,625.0002189,
D,61,Other,orange,plant,6.378426,6,correct,456.0000869,
D,62,Other,beaver,animal,3.951244,6,correct,568.999753,
D,63,Other,dog,animal,7.667626,3,correct,456.0000869,
D,64,Other,banana,plant,5.023881,6,correct,438.9998187,
D,65,Other,blueberry,plant,2.484907,9,correct,480.9998701,
D,66,Other,donkey,animal,5.541264,6,correct,506.0001673,
D,67,Other,pig,animal,6.660575,3,correct,400.9998287,
D,70,Other,paprika,plant,2.484907,7,correct,555.9998364,
D,72,Other,carrot,plant,4.976734,6,correct,726.9996528,
D,74,Other,camel,animal,6.109248,5,correct,499.9999508,
D,76,Other,whale,animal,5.298317,5,correct,623.0002998,
D,77,Other,mouse,animal,5.805135,5,correct,551.9999745,
D,78,Other,kiwi,plant,3.044522,4,correct,515.0000512,
D,80,Other,avocado,plant,3.433987,7,correct,631.9997509,
D,85,Other,cherry,plant,4.997212,6,correct,524.0001654,
D,86,Other,owl,animal,4.859812,3,correct,549.999847,
D,87,Other,reindeer,animal,4.043051,8,correct,675.0002087,
D,89,Other,lion,animal,6.098074,4,correct,525.9998881,
D,90,Other,tortoise,animal,4.624973,8,incorrect,525.9998881,
D,91,Other,olive,plant,5.587249,5,correct,614.0000441,
D,92,Other,mole,animal,4.60517,4,correct,578.9997235,
D,97,Other,apricot,plant,3.828641,7,correct,588.9998918,
D,99,Other,shark,animal,5.880533,5,correct,660.0001089,
D,100,Other,elephant,animal,6.063785,8,correct,541.9999992,
D,101,Other,radish,plant,3.044522,6,correct,582.9998914,
D,108,Other,bat,animal,5.918894,3,correct,538.0002366,
D,109,Other,goat,animal,6.228511,4,incorrect,549.999847,
D,110,Other,bunny,animal,3.332205,5,correct,599.0002407,
D,111,Other,grape,plant,5.192957,5,correct,476.0000694,
D,115,Other,lemon,plant,5.631212,5,correct,573.0001623,
D,117,Other,hedgehog,animal,3.637586,8,correct,734.9996331,
D,118,Other,apple,plant,6.304449,5,correct,492.0001395,
D,123,Other,horse,animal,7.77191,5,correct,542.9998263,
D,126,Other,strawberry,plant,4.75359,10,correct,551.0001052,
D,128,Other,stork,animal,3.044522,5,correct,730.9996639,
D,129,Other,melon,plant,4.127134,5,correct,573.9997725,
D,130,Other,gull,animal,4.418841,4,incorrect,606.0000084,
D,132,Other,moose,animal,2.70805,5,correct,644.0001764,
D,133,Other,sheep,animal,6.577861,5,correct,563.0002094,
D,136,Other,goose,animal,5.267858,5,correct,1049.999535,
D,138,Other,ant,animal,5.347108,3,correct,627.9998955,
D,139,Other,asparagus,plant,3.663562,9,correct,696.0002364,
D,140,Other,monkey,animal,5.783825,6,correct,515.0000512,
D,149,Other,pineapple,plant,3.988984,9,correct,873.0003878,
D,150,Other,wasp,animal,4.682131,4,correct,599.0002407,
D,152,Other,mushroom,plant,5.537334,8,correct,673.9999252,
D,155,Other,leek,plant,3.332205,4,correct,701.0000792,
D,157,Other,dolphin,animal,4.007333,7,correct,628.9998385,
D,160,Other,almond,plant,4.204693,6,correct,611.0000249,
D,164,Other,clove,plant,3.663562,5,correct,734.9996331,
D,168,Other,mustard,plant,4.442651,7,correct,636.0002777,
D,169,Other,pear,plant,4.727388,4,correct,531.9997397,
D,172,Other,chicken,animal,6.59987,7,correct,1079.000037,
D,175,Other,eagle,animal,5.117994,5,correct,778.9999643,
D,176,Other,vulture,animal,4.248495,7,correct,888.9997906,
D,177,Other,frog,animal,5.129899,4,correct,847.0002586,
D,180,Other,potato,plant,6.461468,6,correct,715.000327,
D,181,Other,magpie,animal,2.995732,6,correct,573.9997725,
D,183,Other,bee,animal,5.700444,3,correct,738.0001294,
D,184,Other,crocodile,animal,4.615121,9,NA,NA,
D,185,Other,eggplant,plant,1.791759,8,correct,827.9998722,
I,24,Other,dolphin,animal,4.007333,7,correct,489.9998084,
I,32,Other,vulture,animal,4.248495,7,correct,710.9996944,
I,34,Other,pig,animal,6.660575,3,correct,511.0002094,
I,35,Other,cherry,plant,4.997212,6,correct,662.000294,
I,36,Other,orange,plant,6.378426,6,correct,442.0000521,
I,40,Other,shark,animal,5.880533,5,correct,443.0001019,
I,41,Other,crocodile,animal,4.615121,9,correct,541.9999992,
I,42,Other,reindeer,animal,4.043051,8,correct,579.9999399,
I,43,Other,lion,animal,6.098074,4,correct,430.9999612,
I,44,Other,donkey,animal,5.541264,6,correct,447.0001812,
I,45,Other,gull,animal,4.418841,4,correct,644.9997957,
I,46,Other,blueberry,plant,2.484907,9,correct,522.9997573,
I,48,Other,snake,animal,6.120297,5,correct,1255.999564,
I,50,Other,grape,plant,5.192957,5,correct,393.0001525,
I,51,Other,carrot,plant,4.976734,6,correct,367.0000558,
I,52,Other,butterfly,animal,5.214936,9,correct,524.9998621,
I,54,Other,apple,plant,6.304449,5,correct,415.9998917,
I,56,Other,lettuce,plant,4.812184,7,correct,620.9999491,
I,57,Other,asparagus,plant,3.663562,9,correct,653.9997701,
I,58,Other,goat,animal,6.228511,4,correct,489.9998084,
I,59,Other,clove,plant,3.663562,5,correct,429.0000348,
I,63,Other,bunny,animal,3.332205,5,correct,582.9998914,
I,67,Other,swan,animal,4.962845,4,correct,535.0001354,
I,69,Other,eggplant,plant,1.791759,8,correct,555.9998364,
I,71,Other,strawberry,plant,4.75359,10,correct,561.000053,
I,73,Other,mustard,plant,4.442651,7,correct,596.0001984,
I,74,Other,magpie,animal,2.995732,6,correct,582.9998914,
I,76,Other,beaver,animal,3.951244,6,correct,592.0002161,
I,77,Other,broccoli,plant,2.833213,8,correct,941.9997413,
I,78,Other,elephant,animal,6.063785,8,correct,466.9998797,
I,79,Other,banana,plant,5.023881,6,correct,442.0000521,
I,85,Other,sheep,animal,6.577861,5,correct,476.9997658,
I,86,Other,melon,plant,4.127134,5,correct,512.000192,
I,87,Other,almond,plant,4.204693,6,correct,558.9997355,
I,88,Other,potato,plant,6.461468,6,correct,394.0000357,
I,90,Other,hedgehog,animal,3.637586,8,correct,562.0000844,
I,93,Other,leek,plant,3.332205,4,correct,608.999837,
I,96,Other,whale,animal,5.298317,5,correct,467.9998615,
I,98,Other,tomato,plant,5.545177,6,correct,423.999807,
I,102,Other,mouse,animal,5.805135,5,correct,387.9998682,
I,105,Other,ant,animal,5.347108,3,correct,560.0001211,
I,109,Other,goose,animal,5.267858,5,correct,519.0000606,
I,110,Other,paprika,plant,2.484907,7,correct,602.9998814,
I,111,Other,woodpecker,animal,2.890372,10,correct,932.0001727,
I,115,Other,pineapple,plant,3.988984,9,correct,470.9999557,
I,121,Other,bat,animal,5.918894,3,correct,473.9998475,
I,125,Other,cat,animal,7.086738,3,correct,478.0001279,
I,127,Other,bee,animal,5.700444,3,correct,403.0001765,
I,130,Other,avocado,plant,3.433987,7,correct,473.9998475,
I,132,Other,eagle,animal,5.117994,5,correct,432.0001779,
I,133,Other,olive,plant,5.587249,5,correct,407.9999288,
I,134,Other,beetroot,plant,3.555348,8,correct,498.9999522,
I,135,Other,frog,animal,5.129899,4,correct,517.0000649,
I,137,Other,mushroom,plant,5.537334,8,correct,576.9998462,
I,138,Other,gherkin,plant,2.079442,7,correct,623.0002998,
I,140,Other,spider,animal,4.844187,6,correct,481.999945,
I,146,Other,fox,animal,5.652489,3,correct,614.9998353,
I,149,Other,monkey,animal,5.783825,6,correct,717.0001143,
I,151,Other,squirrel,animal,4.70953,8,correct,496.0000363,
I,153,Other,mole,animal,4.60517,4,correct,584.00001,
I,155,Other,dog,animal,7.667626,3,correct,522.9997573,
I,156,Other,peanut,plant,4.59512,6,correct,486.0001828,
I,157,Other,owl,animal,4.859812,3,correct,450.0001878,
I,158,Other,wasp,animal,4.682131,4,correct,786.0001632,
I,159,Other,squid,animal,3.970292,5,correct,443.0001019,
I,163,Other,pear,plant,4.727388,4,correct,395.9999163,
I,164,Other,chicken,animal,6.59987,7,correct,470.9999557,
I,165,Other,radish,plant,3.044522,6,correct,429.9999103,
I,168,Other,cucumber,plant,4.454347,8,correct,524.9998621,
I,169,Other,apricot,plant,3.828641,7,correct,433.0001178,
I,170,Other,camel,animal,6.109248,5,correct,372.9998435,
I,171,Other,blackberry,plant,4.060443,10,correct,601.0000393,
I,173,Other,lemon,plant,5.631212,5,correct,401.9999644,
I,174,Other,tortoise,animal,4.624973,8,correct,601.9997319,
I,176,Other,kiwi,plant,3.044522,4,correct,382.0001495,
I,178,Other,horse,animal,7.77191,5,correct,406.9999245,
I,182,Other,stork,animal,3.044522,5,correct,767.0001524,
I,183,Other,walnut,plant,4.49981,6,correct,515.0000512,
I,184,Other,moose,animal,2.70805,5,correct,486.9999401,
J,23,Other,beaver,animal,3.951244,6,correct,824.0003874,
J,26,Other,hedgehog,animal,3.637586,8,incorrect,434.9999865,
J,27,Other,gull,animal,4.418841,4,correct,677.9998048,
J,30,Other,carrot,plant,4.976734,6,correct,568.999753,
J,32,Other,clove,plant,3.663562,5,correct,568.999753,
J,36,Other,mouse,animal,5.805135,5,correct,663.0000065,
J,38,Other,bunny,animal,3.332205,5,correct,941.9997413,
J,42,Other,pig,animal,6.660575,3,correct,524.0001654,
J,43,Other,ant,animal,5.347108,3,correct,516.000121,
J,44,Other,eggplant,plant,1.791759,8,correct,545.0001119,
J,47,Other,gherkin,plant,2.079442,7,incorrect,489.9998084,
J,49,Other,wasp,animal,4.682131,4,correct,673.9999252,
J,50,Other,fox,animal,5.652489,3,correct,467.9998615,
J,52,Other,lemon,plant,5.631212,5,correct,483.0001673,
J,56,Other,owl,animal,4.859812,3,correct,576.0001954,
J,57,Other,dog,animal,7.667626,3,correct,456.9998214,
J,61,Other,shark,animal,5.880533,5,correct,573.9997725,
J,65,Other,apricot,plant,3.828641,7,correct,578.0000759,
J,67,Other,whale,animal,5.298317,5,correct,483.0001673,
J,69,Other,spider,animal,4.844187,6,correct,558.000021,
J,70,Other,pear,plant,4.727388,4,correct,598.0001471,
J,72,Other,mushroom,plant,5.537334,8,correct,451.9999187,
J,75,Other,squirrel,animal,4.70953,8,correct,554.0001735,
J,77,Other,pineapple,plant,3.988984,9,correct,536.9999492,
J,79,Other,chicken,animal,6.59987,7,NA,NA,
J,81,Other,goat,animal,6.228511,4,correct,525.9998881,
J,83,Other,crocodile,animal,4.615121,9,incorrect,451.9999187,
J,84,Other,horse,animal,7.77191,5,correct,548.9997576,
J,89,Other,tomato,plant,5.545177,6,correct,473.9998475,
J,93,Other,broccoli,plant,2.833213,8,correct,538.0002366,
J,97,Other,mole,animal,4.60517,4,correct,725.0002502,
J,98,Other,bat,animal,5.918894,3,correct,490.9999373,
J,99,Other,donkey,animal,5.541264,6,incorrect,444.9998744,
J,100,Other,mustard,plant,4.442651,7,correct,472.0000068,
J,103,Other,squid,animal,3.970292,5,correct,560.0001211,
J,108,Other,frog,animal,5.129899,4,correct,444.9998744,
J,109,Other,dolphin,animal,4.007333,7,incorrect,444.9998744,
J,112,Other,reindeer,animal,4.043051,8,incorrect,464.0002078,
J,113,Other,lion,animal,6.098074,4,correct,420.0001213,
J,115,Other,potato,plant,6.461468,6,correct,466.9998797,
J,117,Other,eagle,animal,5.117994,5,correct,539.0002313,
J,118,Other,blackberry,plant,4.060443,10,correct,535.0001354,
J,120,Other,camel,animal,6.109248,5,correct,569.9997943,
J,121,Other,radish,plant,3.044522,6,correct,492.0001395,
J,122,Other,beetroot,plant,3.555348,8,correct,527.0002379,
J,123,Other,apple,plant,6.304449,5,correct,446.0000214,
J,124,Other,grape,plant,5.192957,5,correct,423.999807,
J,128,Other,cucumber,plant,4.454347,8,correct,558.000021,
J,130,Other,cherry,plant,4.997212,6,correct,456.0000869,
J,131,Other,butterfly,animal,5.214936,9,correct,596.9999323,
J,133,Other,vulture,animal,4.248495,7,correct,565.0001519,
J,134,Other,walnut,plant,4.49981,6,correct,608.999837,
J,137,Other,magpie,animal,2.995732,6,correct,710.9996944,
J,138,Other,strawberry,plant,4.75359,10,correct,539.0002313,
J,139,Other,banana,plant,5.023881,6,correct,438.0000393,
J,141,Other,elephant,animal,6.063785,8,correct,554.9999369,
J,144,Other,stork,animal,3.044522,5,correct,814.9999077,
J,147,Other,olive,plant,5.587249,5,correct,495.0001175,
